icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
4caada,EAI56RC ,Ireland,1721483211,1721483211,-3.2922,55.9771,358.14,False,58.85,238.95,-3.25,,350.52,6307,False,0,2024-07-19 10:00:00
39d2a9,AFR356  ,France,1721483211,1721483211,-5.7267,56.3774,11277.6,False,269.77,306.78,0.0,,11475.72,5633,False,0,2024-07-19 10:00:00
4b18f0,NUM701  ,Switzerland,1721483211,1721483211,-0.0866,51.2991,8290.56,False,237.64,96.46,7.8,,8580.12,3404,False,0,2024-07-19 10:00:00
407152,HLE10   ,United Kingdom,1721483137,1721483137,-2.3546,50.9872,,True,0.0,222.19,,,,,False,0,2024-07-19 10:00:00
407155,ULR1    ,United Kingdom,1721483211,1721483211,-2.3787,57.4008,525.78,False,76.96,340.47,0.33,,518.16,,False,0,2024-07-19 10:00:00
4b191c,SWR40   ,Switzerland,1721483211,1721483212,-2.3393,54.5582,9753.6,False,268.04,328.66,-0.65,,10035.54,3064,False,0,2024-07-19 10:00:00
401af5,GBBND   ,United Kingdom,1721483208,1721483211,0.0928,51.9968,320.04,False,38.69,324.2,-4.23,,320.04,,False,0,2024-07-19 10:00:00
4b1920,SWR8T   ,Switzerland,1721483204,1721483208,-6.0889,58.0832,9753.6,False,281.28,327.47,0.0,,9921.24,3012,False,0,2024-07-19 10:00:00
398579,AFR1315 ,France,1721483210,1721483211,0.1012,50.7784,8839.2,False,222.66,143.74,0.33,,9166.86,7725,False,0,2024-07-19 10:00:00
407131,VIR105  ,United Kingdom,1721483211,1721483211,-3.4905,56.3861,10965.18,False,283.5,345.28,-0.33,,11247.12,5462,False,0,2024-07-19 10:00:00
